volcano,volcanoLabel,latitude,longitude
http://www.wikidata.org/entity/Q1472613,Fuchskaute,50.6595,8.10262
http://www.wikidata.org/entity/Q1420308,Juriques,-22.845277777778,-67.824722222222
http://www.wikidata.org/entity/Q1872082,Ndete Napu,-8.72,121.78
http://www.wikidata.org/entity/Q1738211,Keli Mutubuurai,-8.77,121.82
http://www.wikidata.org/entity/Q1376373,Volcán Wolf,0.033333333333333,-91.333333333333
http://www.wikidata.org/entity/Q1869504,Longgang volcano group,42.33333333,126.5
http://www.wikidata.org/entity/Q1602444,Helgrindur,64.8876702451,-23.3284568109
http://www.wikidata.org/entity/Q1498870,Q1498870,50.5335,9.24294
http://www.wikidata.org/entity/Q1866824,Ljósufjöll,64.87,-22.23
http://www.wikidata.org/entity/Q1374413,Teneguía,28.47333333,-17.85166667
http://www.wikidata.org/entity/Q1739281,Kerlingarfjöll,64.65,-19.25
http://www.wikidata.org/entity/Q1738398,Keluo,49.38,125.90972222
http://www.wikidata.org/entity/Q1730511,Randecker Maar,48.5742,9.523
http://www.wikidata.org/entity/Q1315012,Snæfellsjökull,64.8071204861,-23.7762279203
http://www.wikidata.org/entity/Q1367704,Esjufjöll,64.25457,-16.537982
http://www.wikidata.org/entity/Q1535776,Morne Watt,15.307,-61.305
http://www.wikidata.org/entity/Q1474799,Torfajökull,63.881544444444,-19.009708333333
http://www.wikidata.org/entity/Q1324394,Cerro El Muerto,-27.0575,-68.483888888889
http://www.wikidata.org/entity/Q1787964,Krenitsyn Volcano,49.353055555556,154.70527777778
http://www.wikidata.org/entity/Q1896903,Nuevo Mundo volcano,-19.774166666667,-66.478333333333
http://www.wikidata.org/entity/Q1631727,Ofu-Olosega,-14.166666666667,-169.61666666667
http://www.wikidata.org/entity/Q1891390,San Félix Island,-26.2986,-80.0833
http://www.wikidata.org/entity/Q1420308,Juriques,-22.8475,-67.8392
http://www.wikidata.org/entity/Q2841341,Amaterasu Patera,38.1,306.5
http://www.wikidata.org/entity/Q2401434,Iktunup,58.083333333333,160.75
http://www.wikidata.org/entity/Q2401434,Iktunup,58.083333333333,160.75
http://www.wikidata.org/entity/Q2317058,Kaileney,57.8,160.66666666667
http://www.wikidata.org/entity/Q2256488,Fedotych,57.133333333333,160.4
http://www.wikidata.org/entity/Q2091943,Iettunup,58.4,161.06666666667
http://www.wikidata.org/entity/Q126589,Mount Butak,-7.92,112.45
http://www.wikidata.org/entity/Q248276,Corcovado Volcano,-43.193055555556,-72.792777777778
http://www.wikidata.org/entity/Q524954,Mount Taftan,28.6,61.133333333333
http://www.wikidata.org/entity/Q456619,Ambang,0.7575,124.41583333333
http://www.wikidata.org/entity/Q586852,Ushas Mons,-24.3,324.6
http://www.wikidata.org/entity/Q335699,Þríhnúkagígur,63.99833333,-21.69888889
http://www.wikidata.org/entity/Q457606,Q457606,-4.0652777777778,153.61944444444
http://www.wikidata.org/entity/Q389121,Lanín,-39.632777777778,-71.499722222222
http://www.wikidata.org/entity/Q457596,Ambitle,-4.0808333333333,153.62138888889
http://www.wikidata.org/entity/Q123157,Gunung Telomoyo,-7.37,110.4
http://www.wikidata.org/entity/Q422774,Robledo,-26.77,-67.72
http://www.wikidata.org/entity/Q43876,Mount Batur,-8.2372222222222,115.37694444444
http://www.wikidata.org/entity/Q126589,Mount Butak,-7.92,112.45
http://www.wikidata.org/entity/Q126589,Mount Butak,-7.92,112.45
http://www.wikidata.org/entity/Q373105,Arintica,-18.75,-69.05
http://www.wikidata.org/entity/Q183027,Mount Garibaldi,49.850555555556,-123.00472222222
http://www.wikidata.org/entity/Q609982,Antuco,-37.41,-71.351111111111
http://www.wikidata.org/entity/Q422807,Tipas,-27.2,-68.55
http://www.wikidata.org/entity/Q312936,Antofagasta de la Sierra,-25.968055555556,-67.535833333333
http://www.wikidata.org/entity/Q131230,Mauna Kea,19.820555555556,-155.46805555556
http://www.wikidata.org/entity/Q131230,Mauna Kea,19.820555555556,-155.46805555556
http://www.wikidata.org/entity/Q408217,Santiago Island,-0.25,-90.7
http://www.wikidata.org/entity/Q312770,Domuyo,-36.6397,-70.433
http://www.wikidata.org/entity/Q605355,Rábida Island,-0.413,-90.709
http://www.wikidata.org/entity/Q556594,Ankaratra,-19.349777777778,47.243341666667
